"intercept" "drugB" "time2" "time3" "time6" "drugB:time2" "drugB:time3" "drugB:time6"
"41" 1.33496862905731 -0.0640000000149622 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0900000000000001
"42" 1.34781976370974 -0.0640000000072109 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"43" 1.35796965028536 -0.0640000000034561 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"44" 1.36582013389428 -0.0640000000016493 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0899999999999999
"45" 1.37178423371426 -0.0640000000007845 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.09
"46" 1.37624701319296 -0.0640000000003723 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"47" 1.37954413930361 -0.0640000000001764 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"48" 1.38195426781362 -0.0640000000000836 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"49" 1.38370040433061 -0.0640000000000397 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.09
"50" 1.38495608118357 -0.0640000000000188 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"51" 1.38585341867241 -0.0640000000000089 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.09
"52" 1.38649129308026 -0.0640000000000042 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0899999999999999
"53" 1.386942694145 -0.0640000000000019 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"54" 1.38726091034746 -0.064000000000001 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999999
"55" 1.38748449816422 -0.0640000000000005 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000002
"56" 1.38764114916574 -0.0640000000000002 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"57" 1.38775062984743 -0.0640000000000002 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0899999999999997
"58" 1.38782697728216 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"59" 1.38788011656583 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0900000000000001
"60" 1.38791703941305 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"61" 1.38794265547621 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0900000000000001
"62" 1.38796040288254 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"63" 1.38797268350859 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"64" 1.38798117177379 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"65" 1.38798703279357 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999999
"66" 1.38799107595108 -0.0639999999999999 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"67" 1.38799386267597 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0900000000000001
"68" 1.38799578188514 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.09
"69" 1.38799710266615 -0.0639999999999999 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"70" 1.38799801099337 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
